,id,gender,articleType,baseColour,season,usage,image
0,59360,Women,Kurtas,White,Summer,Ethnic,images/59360.jpg
1,54082,Women,Kurtis,Blue,Summer,Ethnic,images/54082.jpg
2,31117,Girls,Tops,White,Summer,Casual,images/31117.jpg
3,3321,Men,Tshirts,Blue,Summer,Sports,images/3321.jpg
4,42675,Women,Kurtas,Black,Summer,Ethnic,images/42675.jpg
5,10826,Men,Tshirts,White,Fall,Casual,images/10826.jpg
6,3027,Women,Tshirts,Red,Summer,Casual,images/3027.jpg
7,27396,Men,Tshirts,Black,Summer,Casual,images/27396.jpg
8,27430,Women,Tshirts,Grey Melange,Summer,Casual,images/27430.jpg
9,10818,Men,Shirts,Red,Fall,Casual,images/10818.jpg
10,4857,Men,Tshirts,Red,Summer,Sports,images/4857.jpg
11,40418,Women,Tops,Black,Summer,Casual,images/40418.jpg
12,45856,Women,Kurtas,Brown,Summer,Ethnic,images/45856.jpg
13,33762,Women,Tops,Pink,Summer,Casual,images/33762.jpg
14,22464,Women,Leggings,Black,Fall,Casual,images/22464.jpg
15,15078,Women,Kurtis,Blue,Fall,Ethnic,images/15078.jpg
16,23448,Women,Tunics,Multi,Fall,Casual,images/23448.jpg
17,24451,Men,Casual Shoes,Black,Summer,Casual,images/24451.jpg
18,42142,Men,Sports Shoes,White,Summer,Sports,images/42142.jpg
19,17939,Men,Shorts,White,Fall,Sports,images/17939.jpg
20,2293,Women,Tshirts,Pink,Fall,Casual,images/2293.jpg
21,30766,Men,Kurtas,Blue,Summer,Ethnic,images/30766.jpg
22,34654,Men,Sports Shoes,Grey,Summer,Sports,images/34654.jpg
23,18287,Women,Kurtas,Multi,Fall,Ethnic,images/18287.jpg
24,51415,Men,Shirts,Pink,Summer,Casual,images/51415.jpg
25,15408,Men,Sports Shoes,Black,Fall,Sports,images/15408.jpg
26,6977,Men,Shorts,Green,Summer,Casual,images/6977.jpg
27,24772,Men,Cufflinks,Silver,Fall,Casual,images/24772.jpg
28,7152,Women,Tops,Black,Fall,Casual,images/7152.jpg
29,19099,Women,Kurtas,Pink,Fall,Ethnic,images/19099.jpg
30,11570,Women,Kurtas,Purple,Summer,Ethnic,images/11570.jpg
31,39157,Women,Kurtas,Black,Summer,Ethnic,images/39157.jpg
32,8981,Men,Casual Shoes,White,Fall,Casual,images/8981.jpg
33,30865,Women,Kurtas,Navy Blue,Summer,Ethnic,images/30865.jpg
34,6693,Men,Tshirts,Brown,Summer,Casual,images/6693.jpg
35,23150,Women,Jackets,Purple,Fall,Casual,images/23150.jpg
36,34198,Men,Tshirts,Blue,Summer,Casual,images/34198.jpg
37,2619,Men,Tshirts,White,Fall,Sports,images/2619.jpg
38,19793,Men,Tshirts,Navy Blue,Fall,Casual,images/19793.jpg
39,7350,Men,Tshirts,Red,Fall,Casual,images/7350.jpg
40,5005,Women,Skirts,Red,Summer,Casual,images/5005.jpg
41,22912,Women,Casual Shoes,Black,Fall,Casual,images/22912.jpg
42,55627,Men,Casual Shoes,Brown,Summer,Casual,images/55627.jpg
43,14721,Women,Shirts,Purple,Fall,Casual,images/14721.jpg
44,19648,Women,Tops,Brown,Fall,Casual,images/19648.jpg
45,37716,Men,Tshirts,Blue,Summer,Casual,images/37716.jpg
46,13750,Men,Shirts,Blue,Fall,Casual,images/13750.jpg
47,37098,Men,Tshirts,Green,Summer,Casual,images/37098.jpg
48,44743,Men,Casual Shoes,White,Summer,Casual,images/44743.jpg
49,27361,Men,Tshirts,Blue,Fall,Casual,images/27361.jpg
